Average for Week Ending,Index (Jan 1999 = 100),Unnamed: 2
2014-11-07,122.78,
2014-10-31,122.81,
2014-10-24,122.8,
2014-10-17,122.9,
2014-10-10,122.97,
2014-10-03,123.15,
2014-09-26,123.04,
2014-09-19,122.88,
2014-09-12,122.61,
2014-09-05,122.74,
2014-08-29,122.7,
2014-08-22,122.63,
2014-08-15,122.57,
2014-08-08,122.72,
2014-08-01,122.8,
2014-07-25,122.94,
2014-07-18,122.91,
2014-07-11,122.6,
2014-07-04,122.44,
2014-06-27,122.59,
2014-06-20,122.54,
2014-06-13,122.46,
2014-06-06,122.19,
2014-05-30,122.05,
2014-05-23,122.06,
2014-05-16,122.23,
2014-05-09,122.36,
2014-05-02,122.15,
2014-04-25,122.09,
2014-04-18,122.15,
2014-04-11,122.1,
2014-04-04,121.78,
2014-03-28,121.41,
2014-03-21,121.01,
2014-03-14,121.07,
2014-03-07,121.11,
2014-02-28,121.45,
2014-02-21,121.69,
2014-02-14,121.78,
2014-02-07,121.75,
2014-01-31,121.36,
2014-01-24,121.06,
2014-01-17,121.4,
2014-01-10,121.6,
2014-01-03,121.75,
2013-12-27,121.85,
2013-12-20,122.02,
2013-12-13,122.26,
2013-12-06,122.17,
2013-11-29,122.29,
2013-11-22,122.38,
2013-11-15,122.33,
2013-11-08,122.18,
2013-11-01,121.89,
2013-10-25,121.76,
2013-10-18,121.89,
2013-10-11,121.56,
2013-10-04,121.6,
2013-09-27,121.53,
2013-09-20,121.61,
2013-09-13,121.14,
2013-09-06,120.88,
2013-08-30,120.4,
2013-08-23,119.98,
2013-08-16,120.5,
2013-08-09,120.5,
2013-08-02,120.25,
2013-07-26,120.5,
2013-07-19,120.74,
2013-07-12,120.35,
2013-07-05,120.25,
2013-06-28,120.02,
2013-06-21,119.64,
2013-06-14,120.16,
2013-06-07,120.75,
2013-05-31,119.7,
2013-05-24,119.9,
2013-05-17,120.84,
2013-05-10,121.13,
2013-05-03,121.07,
2013-04-26,120.96,
2013-04-19,121.05,
2013-04-12,121.05,
2013-04-05,120.87,
2013-03-29,120.54,
2013-03-22,119.99,
2013-03-15,120.23,
2013-03-08,120.06,
2013-03-01,120.53,
2013-02-22,120.37,
2013-02-15,120.22,
2013-02-08,119.92,
2013-02-01,119.5,
2013-01-25,119.88,
2013-01-18,119.93,
2013-01-11,120.0,
2013-01-04,120.34,
2012-12-28,120.38,
2012-12-21,120.3,
2012-12-14,120.21,
2012-12-07,120.22,
2012-11-30,120.14,
2012-11-23,120.1,
2012-11-16,120.02,
2012-11-09,120.0,
2012-11-02,120.0,
2012-10-26,119.92,
2012-10-19,119.9,
2012-10-12,119.4,
2012-10-05,119.14,
2012-09-28,119.34,
2012-09-21,119.57,
2012-09-14,119.52,
2012-09-07,118.88,
2012-08-31,118.44,
2012-08-24,118.68,
2012-08-17,119.04,
2012-08-10,119.32,
2012-08-03,119.31,
2012-07-27,118.84,
2012-07-20,118.39,
2012-07-13,117.87,
2012-07-06,117.58,
2012-06-29,116.9,
2012-06-22,117.16,
2012-06-15,116.6,
2012-06-08,116.4,
2012-06-01,116.54,
2012-05-25,116.62,
2012-05-18,117.1,
2012-05-11,117.64,
2012-05-04,117.98,
2012-04-27,117.8,
2012-04-20,117.39,
2012-04-13,116.9,
2012-04-06,116.85,
2012-03-30,116.74,
2012-03-23,116.59,
2012-03-16,116.56,
2012-03-09,116.3,
2012-03-02,116.26,
2012-02-24,116.09,
2012-02-17,115.52,
2012-02-10,116.32,
2012-02-03,116.1,
2012-01-27,115.94,
2012-01-20,114.83,
2012-01-13,114.24,
2012-01-06,114.18,
2011-12-30,113.71,
2011-12-23,113.8,
2011-12-16,113.34,
2011-12-09,113.88,
2011-12-02,113.75,
2011-11-25,112.83,
2011-11-18,113.27,
2011-11-11,113.82,
2011-11-04,114.88,
2011-10-28,115.0,
2011-10-21,114.81,
2011-10-14,114.22,
2011-10-07,113.01,
2011-09-30,113.6,
2011-09-23,114.57,
2011-09-16,116.7,
2011-09-09,118.33,
2011-09-02,118.27,
2011-08-26,118.21,
2011-08-19,118.12,
2011-08-12,118.04,
2011-08-05,118.06,
2011-07-29,118.19,
2011-07-22,118.06,
2011-07-15,117.8,
2011-07-08,117.35,
2011-07-01,116.89,
2011-06-24,116.81,
2011-06-17,116.69,
2011-06-10,116.56,
2011-06-03,116.65,
2011-05-27,116.35,
2011-05-20,116.31,
2011-05-13,116.38,
2011-05-06,116.21,
2011-04-29,116.45,
2011-04-22,116.3,
2011-04-15,115.61,
2011-04-08,115.32,
2011-04-01,115.37,
2011-03-25,115.0,
2011-03-18,114.5,
2011-03-11,115.13,
2011-03-04,115.1,
2011-02-25,114.82,
2011-02-18,114.98,
2011-02-11,114.9,
2011-02-04,114.81,
2011-01-28,114.77,
2011-01-21,114.54,
2011-01-14,114.51,
2011-01-07,114.44,
2010-12-31,114.27,
2010-12-24,113.63,
2010-12-17,113.53,
2010-12-10,113.57,
2010-12-03,113.66,
2010-11-26,113.5,
2010-11-19,113.77,
2010-11-12,113.87,
2010-11-05,113.72,
2010-10-29,113.41,
2010-10-22,112.96,
2010-10-15,112.82,
2010-10-08,112.64,
2010-10-01,112.63,
2010-09-24,112.56,
2010-09-17,112.51,
2010-09-10,112.37,
2010-09-03,112.26,
2010-08-27,111.98,
2010-08-20,111.94,
2010-08-13,111.6,
2010-08-06,111.83,
2010-07-30,111.75,
2010-07-23,111.34,
2010-07-16,111.35,
