End of Period / SORA Value Date,Unnamed: 1,Unnamed: 2,Interbank Overnight,Interbank 1-Week,Interbank 1-Month,Interbank 2-Month,Interbank 3-Month,Interbank 6-Month,Interbank 12-Month,3-Month Commercial Bills,3-Month US$ SIBOR,Singapore Overnight Rate Average,SGS Repo Overnight Rate,SF Deposit Rate,SF Borrowing Rate,RMB Overnight Rate
,,14.0,2.5,2.31,2.25,2.25,2.25,2.38,2.44,2.26,3.87,-,2.34,-,-,-
,,15.0,1.25,2.38,2.25,2.25,2.25,2.31,2.44,2.26,3.85,-,2.6,-,-,-
,,16.0,1.25,2.25,2.25,2.25,2.25,2.31,2.44,-,-,-,-,-,-,-
,,18.0,1.5,2.19,2.19,2.25,2.25,2.31,2.44,2.25,3.81,-,2.11,-,-,-
,,19.0,2,2.19,2.19,2.25,2.25,2.31,2.44,2.24,3.76,-,2.09,-,-,-
,,20.0,2.13,2.25,2.25,2.25,2.25,2.31,2.44,2.24,3.75,-,2.14,-,-,-
,,21.0,1,2.25,2.25,2.25,2.25,2.31,2.44,2.23,3.72,-,2.33,-,-,-
,,22.0,2,2.25,2.25,2.25,2.25,2.31,2.44,2.24,3.73,-,2.43,-,-,-
,,23.0,2.25,2.25,2.25,2.25,2.25,2.31,2.38,-,-,-,-,-,-,-
,,25.0,2,2.31,2.25,2.25,2.25,2.31,2.38,2.24,3.71,-,2.19,-,-,-
,,26.0,1.5,2.38,2.25,2.25,2.25,2.31,2.38,2.24,3.7,-,2.24,-,-,-
,,27.0,2,2.38,2.25,2.25,2.25,2.31,2.38,2.24,3.71,-,2.23,-,-,-
,,28.0,2.13,2.38,2.25,2.25,2.25,2.31,2.38,2.24,3.79,-,2.24,-,-,-
,,29.0,2.5,2.31,2.25,2.25,2.25,2.31,2.38,2.24,3.83,-,2.62,-,-,-
,,30.0,1.75,2.31,2.25,2.25,2.25,2.31,2.38,-,-,-,-,-,-,-
,Jul,2.0,0.75,2.25,2.25,2.25,2.25,2.31,2.38,2.24,3.83,-,2.3,-,-,-
,,3.0,2,2.19,2.19,2.25,2.25,2.31,2.38,2.24,3.82,-,2.1,-,-,-
,,4.0,2,2.19,2.19,2.25,2.25,2.31,2.38,2.24,3.82,-,2.09,-,-,-
,,5.0,1.25,2.19,2.19,2.25,2.25,2.31,2.38,2.24,3.82,-,2.17,-,-,-
,,6.0,1.25,2.25,2.25,2.25,2.25,2.31,2.38,2.24,3.81,-,2.52,-,-,-
,,7.0,0.5,2.25,2.25,2.25,2.25,2.31,2.38,-,-,-,-,-,-,-
,,9.0,1.5,2.25,2.25,2.25,2.25,2.31,2.38,2.24,3.79,-,2.14,-,-,-
,,10.0,1.25,2,2.13,2.19,2.19,2.25,2.38,2.21,3.78,-,1.92,-,-,-
,,11.0,1.5,2.13,2.13,2.13,2.19,2.25,2.38,2.21,3.77,-,1.77,-,-,-
,,12.0,1.5,2.06,2.06,2.06,2.13,2.25,2.31,2.14,3.77,-,1.77,-,-,-
,,13.0,2.5,2,2.06,2.06,2.06,2.19,2.31,2.13,3.77,-,2.14,-,-,-
,,14.0,2.25,2.06,2.06,2.06,2.13,2.19,2.31,-,-,-,-,-,-,-
,,16.0,2.75,2.13,2.13,2.13,2.19,2.25,2.38,2.18,3.76,-,1.99,-,-,-
,,17.0,2.5,2.38,2.25,2.25,2.25,2.25,2.38,2.23,3.76,-,2.39,-,-,-
,,18.0,3.25,3,2.44,2.44,2.44,2.44,2.5,2.28,3.76,-,3.02,-,-,-
,,19.0,3.25,3,2.44,2.44,2.38,2.38,2.38,2.32,3.7,-,3.98,-,-,-
,,20.0,2,3,2.44,2.44,2.44,2.44,2.44,2.32,3.7,-,4.33,-,-,-
,,21.0,2,2.75,2.44,2.44,2.38,2.38,2.38,-,-,-,-,-,-,-
,,23.0,1,3.5,2.75,2.63,2.63,2.56,2.56,2.38,3.7,-,4.16,-,-,-
,,24.0,1,3,2.56,2.5,2.5,2.38,2.38,2.39,3.7,-,3.3,-,-,-
,,25.0,2,2.88,2.56,2.5,2.5,2.44,2.38,2.39,3.7,-,2.85,-,-,-
,,26.0,2.5,2.75,2.31,2.31,2.31,2.38,2.38,2.36,3.7,-,2.8,-,-,-
,,27.0,2.5,2.63,2.38,2.38,2.38,2.38,2.38,2.33,3.7,-,3,-,-,-
,,28.0,2.75,2.63,2.38,2.31,2.31,2.31,2.31,-,-,-,-,-,-,-
,,30.0,2,2.75,2.38,2.38,2.38,2.38,2.38,2.33,3.68,-,2.84,-,-,-
,,31.0,2.5,2.75,2.44,2.38,2.38,2.38,2.38,2.38,3.68,-,2.8,-,-,-
,Aug,1.0,2,3.13,2.63,2.56,2.56,2.44,2.44,2.49,3.65,-,3.03,-,-,-
,,2.0,0.5,3,2.56,2.5,2.5,2.44,2.44,2.49,3.65,-,3.06,-,-,-
,,3.0,1,2.94,2.56,2.5,2.5,2.44,2.44,2.48,3.66,-,3.23,-,-,-
,,4.0,1,2.88,2.5,2.5,2.5,2.44,2.44,-,-,-,-,-,-,-
,,6.0,3,3,2.5,2.5,2.5,2.44,2.44,2.46,3.65,-,2.8,-,-,-
,,7.0,1,2.88,2.5,2.44,2.44,2.44,2.44,2.42,3.65,-,2.61,-,-,-
,,8.0,1,2.5,2.38,2.38,2.38,2.38,2.38,2.13,3.65,-,2.36,-,-,-
,,10.0,2,2.25,2.25,2.25,2.31,2.38,2.38,2.04,3.58,-,2.07,-,-,-
,,11.0,1,2.25,2.31,2.31,2.31,2.38,2.38,-,-,-,-,-,-,-
,,13.0,1.5,2.13,2.25,2.25,2.25,2.31,2.38,2.23,3.57,-,1.93,-,-,-
,,14.0,2.25,2.25,2.31,2.31,2.31,2.38,2.38,2.25,3.56,-,1.99,-,-,-
,,15.0,2.5,2.5,2.44,2.44,2.44,2.38,2.38,2.3,3.56,-,2.14,-,-,-
,,16.0,2,2.38,2.38,2.38,2.38,2.38,2.38,2.33,3.56,-,2.45,-,-,-
,,17.0,2.5,2.38,2.38,2.38,2.38,2.38,2.38,2.33,3.55,-,2.63,-,-,-
,,18.0,2.25,2.38,2.38,2.38,2.38,2.38,2.38,-,-,-,-,-,-,-
,,20.0,1.5,2.5,2.38,2.38,2.38,2.38,2.38,2.34,3.53,-,2.44,-,-,-
,,21.0,1,2.5,2.44,2.38,2.38,2.38,2.38,2.35,3.53,-,2.46,-,-,-
,,22.0,0.75,2.5,2.38,2.38,2.38,2.38,2.38,2.34,3.5,-,2.24,-,-,-
,,23.0,1,2.31,2.31,2.31,2.38,2.38,2.38,2.34,3.51,-,2.13,-,-,-
,,24.0,1.75,2.25,2.25,2.31,2.31,2.38,2.38,2.32,3.51,-,2.15,-,-,-
,,25.0,2.5,2.31,2.31,2.31,2.31,2.38,2.38,-,-,-,-,-,-,-
,,27.0,0.25,2.25,2.25,2.31,2.31,2.38,2.38,2.32,3.52,-,1.99,-,-,-
,,28.0,0.5,2.06,2.13,2.25,2.25,2.31,2.38,2.3,3.52,-,1.69,-,-,-
